time,close,high,low,spread
2025-03-03 00:00:00,1.04026,1.0403,1.04026,32
2025-03-03 00:01:00,1.04027,1.04029,1.04024,29
2025-03-03 00:02:00,1.04028,1.0403,1.03996,30
2025-03-03 00:03:00,1.04027,1.04037,1.04021,31
2025-03-03 00:04:00,1.04027,1.04027,1.04027,38
2025-03-03 00:05:00,1.04021,1.04032,1.04021,29
2025-03-03 00:06:00,1.04022,1.04028,1.04019,29
2025-03-03 00:07:00,1.04022,1.04023,1.04022,31
2025-03-03 00:08:00,1.04019,1.04023,1.04019,27
2025-03-03 00:09:00,1.04022,1.04022,1.04019,28
2025-03-03 00:10:00,1.04022,1.04024,1.0402,25
2025-03-03 00:11:00,1.04023,1.04024,1.04022,29
2025-03-03 00:12:00,1.04021,1.04022,1.04016,30
2025-03-03 00:13:00,1.04016,1.0402,1.04016,31
2025-03-03 00:14:00,1.04005,1.04018,1.03998,29
2025-03-03 00:15:00,1.03998,1.04006,1.03994,31
2025-03-03 00:16:00,1.03995,1.03999,1.0399,34
2025-03-03 00:17:00,1.03989,1.03994,1.03988,34
2025-03-03 00:18:00,1.03989,1.0399,1.03988,35
2025-03-03 00:19:00,1.03988,1.03989,1.03988,33
2025-03-03 00:20:00,1.03987,1.03988,1.03985,29
2025-03-03 00:21:00,1.03986,1.03987,1.03986,29
2025-03-03 00:22:00,1.03991,1.03992,1.03986,24
2025-03-03 00:23:00,1.0399,1.03991,1.03987,22
2025-03-03 00:24:00,1.04,1.04001,1.03986,23
2025-03-03 00:25:00,1.04009,1.04011,1.03998,27
2025-03-03 00:26:00,1.04013,1.04014,1.04009,26
2025-03-03 00:27:00,1.04019,1.0402,1.04009,26
2025-03-03 00:28:00,1.04007,1.0402,1.04007,31
2025-03-03 00:29:00,1.04008,1.04012,1.04005,30
2025-03-03 00:30:00,1.04009,1.04009,1.04005,26
2025-03-03 00:31:00,1.04009,1.04009,1.04009,27
2025-03-03 00:32:00,1.04009,1.04009,1.04004,24
2025-03-03 00:33:00,1.04009,1.04011,1.04004,24
2025-03-03 00:34:00,1.0402,1.04025,1.04009,31
2025-03-03 00:35:00,1.04016,1.04023,1.04014,26
2025-03-03 00:36:00,1.04016,1.04016,1.04014,23
2025-03-03 00:37:00,1.04016,1.04016,1.04015,27
2025-03-03 00:38:00,1.04016,1.04016,1.04015,27
2025-03-03 00:39:00,1.04016,1.04016,1.04016,27
2025-03-03 00:40:00,1.04016,1.04016,1.04015,26
2025-03-03 00:41:00,1.04008,1.04009,1.04008,30
2025-03-03 00:42:00,1.04009,1.0401,1.04008,27
2025-03-03 00:43:00,1.04009,1.04009,1.04008,30
2025-03-03 00:44:00,1.04016,1.04016,1.04008,22
2025-03-03 00:45:00,1.04016,1.04016,1.04016,22
2025-03-03 00:46:00,1.04016,1.04016,1.04015,22
2025-03-03 00:47:00,1.04009,1.04016,1.04009,22
2025-03-03 00:48:00,1.0401,1.0401,1.04009,28
2025-03-03 00:49:00,1.04009,1.04014,1.04009,24
2025-03-03 00:50:00,1.04009,1.04009,1.04009,27
2025-03-03 00:51:00,1.04009,1.04009,1.04008,27
2025-03-03 00:52:00,1.04008,1.04009,1.04008,28
2025-03-03 00:53:00,1.04008,1.0401,1.04007,28
2025-03-03 00:54:00,1.04009,1.04012,1.04009,25
2025-03-03 00:55:00,1.04015,1.04015,1.04007,26
2025-03-03 00:56:00,1.04022,1.04023,1.04008,29
2025-03-03 00:57:00,1.0401,1.04024,1.04009,33
2025-03-03 00:58:00,1.04012,1.04016,1.04008,34
2025-03-03 00:59:00,1.04021,1.04033,1.0401,30
2025-03-03 01:00:00,1.04004,1.04022,1.03988,19
2025-03-03 01:01:00,1.04003,1.04005,1.03995,30
2025-03-03 01:02:00,1.03996,1.04007,1.03991,24
2025-03-03 01:03:00,1.04,1.04004,1.03998,18
2025-03-03 01:04:00,1.03998,1.04004,1.0399,18
2025-03-03 01:05:00,1.03999,1.04001,1.0399,18
2025-03-03 01:06:00,1.04026,1.04038,1.03995,16
2025-03-03 01:07:00,1.04061,1.04065,1.04017,18
2025-03-03 01:08:00,1.04125,1.04126,1.04064,16
2025-03-03 01:09:00,1.04126,1.04161,1.04117,16
2025-03-03 01:10:00,1.04081,1.04127,1.04073,19
2025-03-03 01:11:00,1.04087,1.04092,1.04073,21
2025-03-03 01:12:00,1.04098,1.04104,1.04087,20
2025-03-03 01:13:00,1.04107,1.04107,1.04092,20
2025-03-03 01:14:00,1.04109,1.0411,1.04091,19
2025-03-03 01:15:00,1.04096,1.04109,1.04096,21
2025-03-03 01:16:00,1.04099,1.041,1.04086,18
2025-03-03 01:17:00,1.04099,1.04104,1.04097,20
2025-03-03 01:18:00,1.0411,1.0411299999999999,1.04099,20
2025-03-03 01:19:00,1.0412,1.04125,1.04109,19
2025-03-03 01:20:00,1.04117,1.04127,1.04116,16
2025-03-03 01:21:00,1.04159,1.04159,1.04116,18
2025-03-03 01:22:00,1.0417399999999999,1.04201,1.0416,16
2025-03-03 01:23:00,1.04189,1.042,1.04171,18
2025-03-03 01:24:00,1.0417399999999999,1.04192,1.04169,21
2025-03-03 01:25:00,1.04169,1.04175,1.04169,22
2025-03-03 01:26:00,1.04149,1.04169,1.04144,17
2025-03-03 01:27:00,1.04129,1.0415,1.04128,18
2025-03-03 01:28:00,1.04126,1.04136,1.04126,18
2025-03-03 01:29:00,1.04144,1.04144,1.04119,19
2025-03-03 01:30:00,1.04147,1.04154,1.0414,17
2025-03-03 01:31:00,1.04149,1.04156,1.04146,18
2025-03-03 01:32:00,1.0418,1.0419100000000001,1.04149,19
2025-03-03 01:33:00,1.0419,1.04197,1.04175,16
2025-03-03 01:34:00,1.04173,1.04194,1.04173,17
2025-03-03 01:35:00,1.04194,1.04194,1.04169,16
2025-03-03 01:36:00,1.04184,1.04199,1.04183,18
2025-03-03 01:37:00,1.04185,1.042,1.04184,16
2025-03-03 01:38:00,1.04164,1.04186,1.0416,18
2025-03-03 01:39:00,1.04175,1.04175,1.04162,19
2025-03-03 01:40:00,1.04184,1.04186,1.0417399999999999,16
2025-03-03 01:41:00,1.04172,1.04186,1.04171,18
2025-03-03 01:42:00,1.0417399999999999,1.04179,1.04169,16
2025-03-03 01:43:00,1.04173,1.0417399999999999,1.04169,17
2025-03-03 01:44:00,1.04165,1.04175,1.04162,18
2025-03-03 01:45:00,1.04165,1.0417,1.04163,17
2025-03-03 01:46:00,1.04164,1.04172,1.04164,17
2025-03-03 01:47:00,1.04146,1.04165,1.04141,17
2025-03-03 01:48:00,1.04143,1.04146,1.04143,18
2025-03-03 01:49:00,1.04129,1.04145,1.04129,17
2025-03-03 01:50:00,1.04115,1.04129,1.04111,17
2025-03-03 01:51:00,1.0414,1.04147,1.04115,16
2025-03-03 01:52:00,1.04141,1.04145,1.04139,17
2025-03-03 01:53:00,1.04142,1.04145,1.0414,16
2025-03-03 01:54:00,1.04142,1.04147,1.0413000000000001,17
2025-03-03 01:55:00,1.04142,1.04149,1.04141,16
2025-03-03 01:56:00,1.04119,1.0414,1.04119,16
2025-03-03 01:57:00,1.0413000000000001,1.0413000000000001,1.04111,16
2025-03-03 01:58:00,1.04116,1.04129,1.04112,17
2025-03-03 01:59:00,1.04111,1.04117,1.04111,19
2025-03-03 02:00:00,1.04089,1.04112,1.04079,18
2025-03-03 02:01:00,1.04086,1.04094,1.04084,16
2025-03-03 02:02:00,1.04064,1.0409,1.04064,16
2025-03-03 02:03:00,1.04035,1.04064,1.0402,16
2025-03-03 02:04:00,1.04018,1.04047,1.04014,16
2025-03-03 02:05:00,1.0406,1.0407,1.04018,16
