time,close,high,low,spread
2025-03-01 05:00:00,85240.21,85275.31,85232.53,6000
2025-03-01 05:01:00,85291.68,85291.68,85232.84,6000
2025-03-01 05:02:00,85268.35,85330.08,85265.15,6000
2025-03-01 05:03:00,85319.84,85319.84,85268.66,6000
2025-03-01 05:04:00,85336.01,85381.01,85313.6,6000
2025-03-01 05:05:00,85210.28,85329.94,85205.18,6000
2025-03-01 05:06:00,85069.28,85209.82,85047.71,6000
2025-03-01 05:07:00,85075.23,85089.7,84977.13,6000
2025-03-01 05:08:00,84987.31,85081.74,84972.07,6000
2025-03-01 05:09:00,85023.03,85023.03,84977.43,6000
2025-03-01 05:10:00,85038.19,85038.19,84977.43,6000
2025-03-01 05:11:00,85048.9,85116.92,85019.22,6000
2025-03-01 05:12:00,85094.81,85107.13,85048.9,6000
2025-03-01 05:13:00,85040.9,85132.81,85036.1,6000
2025-03-01 05:14:00,85023.42,85059.93,85017.24,6000
2025-03-01 05:15:00,85063.87,85074.08,84998.77,6000
2025-03-01 05:16:00,84999.19,85061.6,84995.28,6000
2025-03-01 05:17:00,85014.64,85035.79,84985.09,6000
2025-03-01 05:18:00,84970.0,85040.9,84970.0,6000
2025-03-01 05:19:00,84977.42,84984.77,84946.83,6000
2025-03-01 05:20:00,84974.58,84987.62,84956.69,6000
2025-03-01 05:21:00,85000.9,85048.55,84970.0,6000
2025-03-01 05:22:00,84957.03,85000.4,84957.03,6000
2025-03-01 05:23:00,84964.37,84987.32,84940.52,6000
2025-03-01 05:24:00,84956.73,84972.02,84956.73,6000
2025-03-01 05:25:00,84979.77,84984.77,84950.02,6000
2025-03-01 05:26:00,84955.2,85022.79,84955.2,6000
2025-03-01 05:27:00,84949.39,84956.49,84944.55,6000
2025-03-01 05:28:00,84960.13,84964.37,84946.83,6000
2025-03-01 05:29:00,84992.42,84992.42,84937.9,6000
2025-03-01 05:30:00,84995.27,85061.77,84972.03,6000
2025-03-01 05:31:00,85128.03,85161.23,84997.52,6000
2025-03-01 05:32:00,85094.82,85126.31,85074.09,6000
2025-03-01 05:33:00,85160.98,85184.23,85099.5,6000
2025-03-01 05:34:00,85230.27,85250.42,85149.2,6000
2025-03-01 05:35:00,85347.71,85360.5,85194.47,6000
2025-03-01 05:36:00,85258.97,85345.45,85220.04,6000
2025-03-01 05:37:00,85268.35,85307.03,85222.6,6000
2025-03-01 05:38:00,85369.63,85369.63,85266.09,6000
2025-03-01 05:39:00,85439.95,85488.69,85372.18,6000
2025-03-01 05:40:00,85412.07,85467.27,85371.39,6000
2025-03-01 05:41:00,85336.05,85409.5,85332.64,6000
2025-03-01 05:42:00,85325.97,85359.4,85306.74,6000
2025-03-01 05:43:00,85185.4,85332.33,85181.68,6000
2025-03-01 05:44:00,85187.34,85191.59,85130.27,6000
2025-03-01 05:45:00,85149.35,85186.79,85117.2,6000
2025-03-01 05:46:00,85169.99,85169.99,85143.34,6000
2025-03-01 05:47:00,85219.74,85232.28,85166.04,6000
2025-03-01 05:48:00,85286.25,85286.25,85214.92,6000
2025-03-01 05:49:00,85263.21,85288.56,85255.84,6000
2025-03-01 05:50:00,85283.7,85292.99,85263.52,6000
2025-03-01 05:51:00,85278.56,85278.56,85250.14,6000
2025-03-01 05:52:00,85399.24,85415.09,85278.56,6000
2025-03-01 05:53:00,85401.51,85415.94,85348.0,6000
2025-03-01 05:54:00,85409.49,85428.6,85381.0,6000
2025-03-01 05:55:00,85388.99,85414.31,85353.4,6000
2025-03-01 05:56:00,85286.66,85387.21,85283.99,6000
2025-03-01 05:57:00,85291.39,85296.78,85273.75,6000
2025-03-01 05:58:00,85215.91,85291.39,85215.91,6000
2025-03-01 05:59:00,85328.77,85331.9,85212.36,6000
2025-03-01 06:00:00,85317.27,85380.99,85307.03,6000
2025-03-01 06:01:00,85373.32,85380.59,85299.35,6000
2025-03-01 06:02:00,85327.51,85371.05,85317.98,6000
2025-03-01 06:03:00,85409.18,85409.18,85327.51,6000
2025-03-01 06:04:00,85468.15,85468.15,85399.24,6000
2025-03-01 06:05:00,85424.9,85467.48,85412.06,6000
2025-03-01 06:06:00,85393.8,85424.9,85391.26,6000
2025-03-01 06:07:00,85447.95,85455.08,85391.55,6000
2025-03-01 06:08:00,85501.0,85501.02,85447.95,6000
2025-03-01 06:09:00,85560.53,85562.63,85493.2,6000
2025-03-01 06:10:00,85635.35,85661.97,85562.63,6000
2025-03-01 06:11:00,85769.11,85797.1,85617.36,6000
2025-03-01 06:12:00,85840.89,85900.15,85763.94,6000
2025-03-01 06:13:00,85781.65,85882.1,85758.79,6000
2025-03-01 06:14:00,85869.53,85913.41,85789.37,6000
