time,close,spread
2025-03-03 00:00:00,1.04026,32
2025-03-03 00:01:00,1.04027,29
2025-03-03 00:02:00,1.04028,30
2025-03-03 00:03:00,1.04027,31
2025-03-03 00:04:00,1.04027,38
2025-03-03 00:05:00,1.04021,29
2025-03-03 00:06:00,1.04022,29
2025-03-03 00:07:00,1.04022,31
2025-03-03 00:08:00,1.04019,27
2025-03-03 00:09:00,1.04022,28
2025-03-03 00:10:00,1.04022,25
2025-03-03 00:11:00,1.04023,29
2025-03-03 00:12:00,1.04021,30
2025-03-03 00:13:00,1.04016,31
2025-03-03 00:14:00,1.04005,29
2025-03-03 00:15:00,1.03998,31
2025-03-03 00:16:00,1.03995,34
2025-03-03 00:17:00,1.03989,34
2025-03-03 00:18:00,1.03989,35
2025-03-03 00:19:00,1.03988,33
2025-03-03 00:20:00,1.03987,29
2025-03-03 00:21:00,1.03986,29
2025-03-03 00:22:00,1.03991,24
2025-03-03 00:23:00,1.0399,22
2025-03-03 00:24:00,1.04,23
2025-03-03 00:25:00,1.04009,27
2025-03-03 00:26:00,1.04013,26
2025-03-03 00:27:00,1.04019,26
2025-03-03 00:28:00,1.04007,31
2025-03-03 00:29:00,1.04008,30
2025-03-03 00:30:00,1.04009,26
2025-03-03 00:31:00,1.04009,27
2025-03-03 00:32:00,1.04009,24
2025-03-03 00:33:00,1.04009,24
2025-03-03 00:34:00,1.0402,31
2025-03-03 00:35:00,1.04016,26
2025-03-03 00:36:00,1.04016,23
2025-03-03 00:37:00,1.04016,27
2025-03-03 00:38:00,1.04016,27
2025-03-03 00:39:00,1.04016,27
2025-03-03 00:40:00,1.04016,26
2025-03-03 00:41:00,1.04008,30
2025-03-03 00:42:00,1.04009,27
2025-03-03 00:43:00,1.04009,30
2025-03-03 00:44:00,1.04016,22
2025-03-03 00:45:00,1.04016,22
2025-03-03 00:46:00,1.04016,22
2025-03-03 00:47:00,1.04009,22
2025-03-03 00:48:00,1.0401,28
2025-03-03 00:49:00,1.04009,24
2025-03-03 00:50:00,1.04009,27
2025-03-03 00:51:00,1.04009,27
2025-03-03 00:52:00,1.04008,28
2025-03-03 00:53:00,1.04008,28
2025-03-03 00:54:00,1.04009,25
2025-03-03 00:55:00,1.04015,26
2025-03-03 00:56:00,1.04022,29
2025-03-03 00:57:00,1.0401,33
2025-03-03 00:58:00,1.04012,34
2025-03-03 00:59:00,1.04021,30
2025-03-03 01:00:00,1.04004,19
2025-03-03 01:01:00,1.04003,30
2025-03-03 01:02:00,1.03996,24
2025-03-03 01:03:00,1.04,18
2025-03-03 01:04:00,1.03998,18
2025-03-03 01:05:00,1.03999,18
2025-03-03 01:06:00,1.04026,16
2025-03-03 01:07:00,1.04061,18
2025-03-03 01:08:00,1.04125,16
2025-03-03 01:09:00,1.04126,16
2025-03-03 01:10:00,1.04081,19
2025-03-03 01:11:00,1.04087,21
2025-03-03 01:12:00,1.04098,20
2025-03-03 01:13:00,1.04107,20
2025-03-03 01:14:00,1.04109,19
2025-03-03 01:15:00,1.04096,21
2025-03-03 01:16:00,1.04099,18
2025-03-03 01:17:00,1.04099,20
2025-03-03 01:18:00,1.0411,20
